simulation_id,result,total_turns,victims_rescued,victims_lost,structural_damage
94,DERROTA_VICTIMAS,5,1,4,6
95,DERROTA_VICTIMAS,8,4,4,11
96,DERROTA_VICTIMAS,5,1,4,4
97,DERROTA_ESTRUCTURAL,12,1,3,29
98,DERROTA_VICTIMAS,6,1,4,4
99,DERROTA_ESTRUCTURAL,12,2,3,25
100,DERROTA_ESTRUCTURAL,11,2,2,28
101,DERROTA_ESTRUCTURAL,14,3,3,26
102,DERROTA_VICTIMAS,9,2,4,10
103,DERROTA_VICTIMAS,8,1,4,6
104,DERROTA_ESTRUCTURAL,15,2,3,26
105,DERROTA_VICTIMAS,5,1,4,0
106,DERROTA_VICTIMAS,8,2,4,12
107,DERROTA_ESTRUCTURAL,12,3,3,28
108,DERROTA_ESTRUCTURAL,15,2,1,25
109,DERROTA_ESTRUCTURAL,13,4,2,26
110,DERROTA_VICTIMAS,9,2,4,18
111,DERROTA_VICTIMAS,10,1,4,12
112,DERROTA_ESTRUCTURAL,11,1,2,26
113,DERROTA_VICTIMAS,8,3,4,15
114,DERROTA_VICTIMAS,7,1,4,2
115,DERROTA_VICTIMAS,6,2,4,2
116,DERROTA_ESTRUCTURAL,13,2,1,24
117,DERROTA_ESTRUCTURAL,14,3,3,26
118,DERROTA_VICTIMAS,5,1,4,2
119,DERROTA_VICTIMAS,6,1,4,7
120,DERROTA_ESTRUCTURAL,14,3,3,27
121,DERROTA_VICTIMAS,8,3,4,8
122,DERROTA_VICTIMAS,6,1,4,1
123,DERROTA_VICTIMAS,8,1,4,5
124,DERROTA_VICTIMAS,10,4,4,10
125,DERROTA_ESTRUCTURAL,14,4,3,25
126,DERROTA_VICTIMAS,8,1,4,4
127,DERROTA_ESTRUCTURAL,13,1,1,25
128,DERROTA_VICTIMAS,7,2,4,9
129,DERROTA_ESTRUCTURAL,14,2,3,27
130,DERROTA_VICTIMAS,8,1,4,9
131,DERROTA_VICTIMAS,6,1,5,6
132,DERROTA_VICTIMAS,9,3,4,14
133,DERROTA_VICTIMAS,12,3,5,18
134,DERROTA_ESTRUCTURAL,11,2,3,27
135,DERROTA_ESTRUCTURAL,15,3,3,25
136,DERROTA_ESTRUCTURAL,15,1,3,24
137,DERROTA_VICTIMAS,6,1,5,2
138,DERROTA_VICTIMAS,10,3,4,14
139,DERROTA_ESTRUCTURAL,13,2,2,24
140,DERROTA_ESTRUCTURAL,14,2,1,26
141,DERROTA_VICTIMAS,11,2,4,13
142,DERROTA_VICTIMAS,8,1,4,10
143,DERROTA_ESTRUCTURAL,11,2,2,27
144,DERROTA_VICTIMAS,9,1,4,14
145,DERROTA_VICTIMAS,7,2,4,6
146,DERROTA_VICTIMAS,5,1,4,4
147,DERROTA_ESTRUCTURAL,13,3,1,27
148,DERROTA_ESTRUCTURAL,10,2,3,26
149,DERROTA_VICTIMAS,6,2,4,4
150,DERROTA_VICTIMAS,7,2,4,10
151,DERROTA_ESTRUCTURAL,10,1,1,26
152,DERROTA_ESTRUCTURAL,15,1,3,26
153,DERROTA_VICTIMAS,10,5,4,13
154,DERROTA_ESTRUCTURAL,11,2,3,27
155,DERROTA_ESTRUCTURAL,13,1,3,25
156,DERROTA_ESTRUCTURAL,11,3,3,25
157,DERROTA_VICTIMAS,10,4,4,11
158,DERROTA_VICTIMAS,6,2,4,5
159,DERROTA_ESTRUCTURAL,14,2,3,24
160,DERROTA_ESTRUCTURAL,13,3,3,26
161,DERROTA_VICTIMAS,9,2,4,10
162,DERROTA_ESTRUCTURAL,13,1,3,24
163,DERROTA_VICTIMAS,8,2,4,14
164,DERROTA_VICTIMAS,9,2,4,4
165,DERROTA_VICTIMAS,14,2,4,20
166,DERROTA_VICTIMAS,10,2,4,22
167,DERROTA_VICTIMAS,13,4,4,21
168,DERROTA_VICTIMAS,10,3,4,16
169,DERROTA_ESTRUCTURAL,14,1,2,25
170,DERROTA_VICTIMAS,8,2,4,10
171,DERROTA_ESTRUCTURAL,14,2,2,24
172,DERROTA_VICTIMAS,6,1,4,4
173,DERROTA_VICTIMAS,8,1,4,18
174,DERROTA_VICTIMAS,11,4,5,17
175,DERROTA_ESTRUCTURAL,14,2,1,28
176,DERROTA_VICTIMAS,6,1,4,5
177,DERROTA_VICTIMAS,8,3,4,8
178,DERROTA_VICTIMAS,6,2,4,9
179,DERROTA_ESTRUCTURAL,13,2,1,25
180,DERROTA_ESTRUCTURAL,14,2,3,26
181,DERROTA_VICTIMAS,9,3,4,7
182,DERROTA_ESTRUCTURAL,11,4,2,26
183,DERROTA_VICTIMAS,8,3,4,12
184,DERROTA_VICTIMAS,6,1,4,5
185,DERROTA_VICTIMAS,6,1,4,3
186,DERROTA_VICTIMAS,9,2,4,7
187,DERROTA_VICTIMAS,8,2,4,16
188,DERROTA_VICTIMAS,5,1,4,0
189,DERROTA_ESTRUCTURAL,11,2,3,25
190,DERROTA_ESTRUCTURAL,16,2,3,28
191,DERROTA_VICTIMAS,8,3,4,9
192,DERROTA_ESTRUCTURAL,13,4,3,27
193,DERROTA_VICTIMAS,12,3,4,21
194,DERROTA_VICTIMAS,6,1,4,9
195,DERROTA_VICTIMAS,7,1,4,10
196,DERROTA_ESTRUCTURAL,15,3,2,26
197,DERROTA_VICTIMAS,6,1,4,4
198,DERROTA_ESTRUCTURAL,11,3,2,26
199,DERROTA_ESTRUCTURAL,13,2,1,27
200,DERROTA_ESTRUCTURAL,12,2,1,26
201,DERROTA_ESTRUCTURAL,16,4,2,24
202,DERROTA_VICTIMAS,9,3,4,15
203,DERROTA_ESTRUCTURAL,14,4,3,25
204,DERROTA_VICTIMAS,7,3,4,10
205,DERROTA_ESTRUCTURAL,15,2,1,27
206,DERROTA_VICTIMAS,7,1,4,3
207,DERROTA_VICTIMAS,7,3,4,10
208,DERROTA_VICTIMAS,7,2,4,10
209,DERROTA_VICTIMAS,7,1,4,5
210,DERROTA_ESTRUCTURAL,12,3,3,24
211,DERROTA_ESTRUCTURAL,14,2,2,24
212,DERROTA_ESTRUCTURAL,15,4,0,25
213,DERROTA_ESTRUCTURAL,12,3,3,26
214,DERROTA_ESTRUCTURAL,13,1,1,24
215,DERROTA_ESTRUCTURAL,12,2,3,25
216,DERROTA_VICTIMAS,6,1,4,6
217,DERROTA_VICTIMAS,9,1,4,12
218,DERROTA_VICTIMAS,6,3,4,5
219,DERROTA_VICTIMAS,12,3,4,26
220,DERROTA_ESTRUCTURAL,11,4,3,24
221,DERROTA_VICTIMAS,9,2,4,12
222,DERROTA_ESTRUCTURAL,14,2,1,25
223,DERROTA_VICTIMAS,9,2,4,7
224,DERROTA_VICTIMAS,7,2,4,0
225,DERROTA_ESTRUCTURAL,14,1,3,26
226,DERROTA_VICTIMAS,9,2,4,17
227,DERROTA_VICTIMAS,9,2,4,18
228,DERROTA_ESTRUCTURAL,15,1,3,27
229,DERROTA_ESTRUCTURAL,12,4,3,24
230,DERROTA_ESTRUCTURAL,16,3,3,24
231,DERROTA_VICTIMAS,7,2,4,0
232,DERROTA_VICTIMAS,9,2,4,2
233,DERROTA_VICTIMAS,11,3,4,22
234,DERROTA_ESTRUCTURAL,17,1,3,26
235,DERROTA_VICTIMAS,6,1,4,7
236,DERROTA_VICTIMAS,5,1,4,2
237,DERROTA_VICTIMAS,8,3,4,5
238,DERROTA_VICTIMAS,8,2,4,10
239,DERROTA_ESTRUCTURAL,15,2,1,24
240,DERROTA_VICTIMAS,5,1,4,6
241,DERROTA_ESTRUCTURAL,13,1,1,26
242,DERROTA_ESTRUCTURAL,14,3,2,26
243,DERROTA_VICTIMAS,5,1,4,8
244,DERROTA_VICTIMAS,11,1,4,22
245,DERROTA_VICTIMAS,11,3,4,21
246,DERROTA_ESTRUCTURAL,16,3,2,28
247,DERROTA_VICTIMAS,8,2,4,14
248,DERROTA_VICTIMAS,8,1,4,15
249,DERROTA_VICTIMAS,11,3,4,17
250,DERROTA_VICTIMAS,6,2,4,0
251,DERROTA_VICTIMAS,10,2,4,13
252,DERROTA_ESTRUCTURAL,10,2,2,24
253,DERROTA_VICTIMAS,11,3,4,15
254,DERROTA_ESTRUCTURAL,12,2,2,25
255,DERROTA_VICTIMAS,5,1,4,2
256,DERROTA_VICTIMAS,7,3,4,11
257,DERROTA_VICTIMAS,7,1,4,12
258,DERROTA_VICTIMAS,9,1,4,12
259,DERROTA_ESTRUCTURAL,14,3,3,26
260,DERROTA_ESTRUCTURAL,12,4,1,27
261,DERROTA_ESTRUCTURAL,15,2,1,25
262,DERROTA_VICTIMAS,6,1,4,4
263,DERROTA_VICTIMAS,6,2,4,2
264,DERROTA_ESTRUCTURAL,11,2,1,25
265,DERROTA_VICTIMAS,6,2,4,3
266,DERROTA_VICTIMAS,9,3,4,17
267,DERROTA_VICTIMAS,8,1,4,10
268,DERROTA_ESTRUCTURAL,12,1,1,24
269,DERROTA_VICTIMAS,11,3,4,10
270,DERROTA_VICTIMAS,10,2,4,13
271,DERROTA_VICTIMAS,9,1,4,12
272,DERROTA_VICTIMAS,10,3,4,18
273,DERROTA_VICTIMAS,9,3,4,14
274,DERROTA_VICTIMAS,6,2,4,7
275,DERROTA_VICTIMAS,4,1,4,1
276,DERROTA_VICTIMAS,8,2,4,10
277,DERROTA_VICTIMAS,9,2,4,21
278,DERROTA_VICTIMAS,7,3,4,7
279,DERROTA_VICTIMAS,9,3,4,7
280,DERROTA_ESTRUCTURAL,15,2,2,24
281,DERROTA_ESTRUCTURAL,13,3,3,27
282,DERROTA_VICTIMAS,7,2,4,12
283,DERROTA_VICTIMAS,7,2,5,5
284,DERROTA_VICTIMAS,8,2,4,9
285,DERROTA_ESTRUCTURAL,14,1,1,26
286,DERROTA_VICTIMAS,11,3,4,20
287,DERROTA_ESTRUCTURAL,13,1,3,24
288,DERROTA_ESTRUCTURAL,13,2,1,24
289,DERROTA_VICTIMAS,10,3,4,8
290,DERROTA_ESTRUCTURAL,13,1,2,26
291,DERROTA_VICTIMAS,6,2,4,5
292,DERROTA_VICTIMAS,7,2,4,4
293,DERROTA_ESTRUCTURAL,9,2,3,24
294,DERROTA_VICTIMAS,5,1,4,8
295,DERROTA_ESTRUCTURAL,11,1,2,26
296,DERROTA_ESTRUCTURAL,12,2,3,25
297,DERROTA_VICTIMAS,14,3,4,24
298,DERROTA_VICTIMAS,11,3,4,20
299,DERROTA_VICTIMAS,7,2,4,8
300,DERROTA_ESTRUCTURAL,14,3,1,25
301,DERROTA_ESTRUCTURAL,14,2,2,27
302,DERROTA_ESTRUCTURAL,14,2,2,24
303,DERROTA_VICTIMAS,9,3,4,10
304,DERROTA_ESTRUCTURAL,17,2,3,25
305,DERROTA_ESTRUCTURAL,11,3,2,25
306,DERROTA_ESTRUCTURAL,11,1,3,24
307,DERROTA_VICTIMAS,9,1,4,14
308,DERROTA_ESTRUCTURAL,14,1,2,28
309,DERROTA_VICTIMAS,5,1,5,5
310,DERROTA_ESTRUCTURAL,12,4,3,25
311,DERROTA_VICTIMAS,10,5,4,14
312,DERROTA_VICTIMAS,9,2,4,11
313,DERROTA_ESTRUCTURAL,11,1,2,25
314,DERROTA_ESTRUCTURAL,11,2,3,24
315,DERROTA_VICTIMAS,8,4,4,14
316,DERROTA_ESTRUCTURAL,15,1,1,26
317,DERROTA_ESTRUCTURAL,14,2,1,24
318,DERROTA_VICTIMAS,8,3,4,6
319,DERROTA_ESTRUCTURAL,12,1,2,25
320,DERROTA_VICTIMAS,8,3,4,4
321,DERROTA_ESTRUCTURAL,13,3,3,26
322,DERROTA_VICTIMAS,10,3,4,14
323,DERROTA_VICTIMAS,8,2,4,15
324,DERROTA_ESTRUCTURAL,12,1,1,26
325,DERROTA_VICTIMAS,7,3,4,2
326,DERROTA_VICTIMAS,6,1,4,0
327,DERROTA_VICTIMAS,9,2,4,17
328,DERROTA_VICTIMAS,6,2,4,7
329,DERROTA_ESTRUCTURAL,13,1,2,24
330,DERROTA_ESTRUCTURAL,13,1,2,26
331,DERROTA_VICTIMAS,9,3,4,15
332,DERROTA_VICTIMAS,10,3,4,11
333,DERROTA_ESTRUCTURAL,11,3,1,25
334,DERROTA_VICTIMAS,10,1,4,18
335,DERROTA_ESTRUCTURAL,12,2,2,26
336,DERROTA_VICTIMAS,9,1,4,9
337,DERROTA_VICTIMAS,9,4,4,11
338,DERROTA_VICTIMAS,6,1,4,6
339,DERROTA_ESTRUCTURAL,12,3,2,25
340,DERROTA_ESTRUCTURAL,13,2,1,24
341,DERROTA_ESTRUCTURAL,15,2,3,27
342,DERROTA_ESTRUCTURAL,12,3,1,25
343,DERROTA_VICTIMAS,11,3,4,22
344,DERROTA_VICTIMAS,7,1,4,5
345,DERROTA_VICTIMAS,6,1,4,4
346,DERROTA_VICTIMAS,6,2,4,4
347,DERROTA_ESTRUCTURAL,12,4,3,25
348,DERROTA_ESTRUCTURAL,14,4,3,26
349,DERROTA_ESTRUCTURAL,11,2,1,24
350,DERROTA_ESTRUCTURAL,11,2,1,24
351,DERROTA_VICTIMAS,11,2,4,15
352,DERROTA_ESTRUCTURAL,15,3,2,27
353,DERROTA_ESTRUCTURAL,15,2,3,26
354,DERROTA_ESTRUCTURAL,13,1,3,26
355,DERROTA_VICTIMAS,9,4,4,17
356,DERROTA_VICTIMAS,8,3,4,8
357,DERROTA_ESTRUCTURAL,14,1,2,27
358,DERROTA_VICTIMAS,7,1,4,6
359,DERROTA_VICTIMAS,7,1,4,8
360,DERROTA_ESTRUCTURAL,14,2,3,28
361,DERROTA_VICTIMAS,5,1,4,4
362,DERROTA_ESTRUCTURAL,14,3,3,24
363,DERROTA_VICTIMAS,12,3,4,24
364,DERROTA_ESTRUCTURAL,14,1,1,25
365,DERROTA_VICTIMAS,6,1,4,4
366,DERROTA_ESTRUCTURAL,12,1,2,25
367,DERROTA_VICTIMAS,8,3,4,17
368,DERROTA_VICTIMAS,7,1,4,7
369,DERROTA_ESTRUCTURAL,12,2,2,25
370,DERROTA_ESTRUCTURAL,15,2,3,26
371,DERROTA_VICTIMAS,11,2,4,20
372,DERROTA_VICTIMAS,6,1,4,2
373,DERROTA_ESTRUCTURAL,11,2,3,26
374,DERROTA_ESTRUCTURAL,11,1,3,24
375,DERROTA_ESTRUCTURAL,15,4,3,26
376,DERROTA_VICTIMAS,10,1,4,20
377,DERROTA_VICTIMAS,7,3,4,3
378,DERROTA_VICTIMAS,13,1,4,19
379,DERROTA_ESTRUCTURAL,13,2,3,25
380,DERROTA_ESTRUCTURAL,13,1,1,24
381,DERROTA_VICTIMAS,13,3,4,22
382,DERROTA_ESTRUCTURAL,9,1,1,24
383,DERROTA_VICTIMAS,7,2,4,3
384,DERROTA_ESTRUCTURAL,14,1,3,26
385,DERROTA_VICTIMAS,6,1,5,2
386,DERROTA_VICTIMAS,9,2,4,13
387,DERROTA_VICTIMAS,10,2,4,9
388,DERROTA_ESTRUCTURAL,12,2,2,25
389,DERROTA_ESTRUCTURAL,14,3,2,24
390,DERROTA_VICTIMAS,9,2,4,5
391,DERROTA_VICTIMAS,12,4,4,20
392,DERROTA_VICTIMAS,9,2,4,15
393,DERROTA_VICTIMAS,6,1,4,5
394,DERROTA_VICTIMAS,6,2,4,2
395,DERROTA_VICTIMAS,7,1,4,9
396,DERROTA_VICTIMAS,6,3,4,6
397,DERROTA_VICTIMAS,6,3,4,11
398,DERROTA_VICTIMAS,6,1,4,4
399,DERROTA_VICTIMAS,8,1,4,15
400,DERROTA_ESTRUCTURAL,16,3,3,25
401,DERROTA_VICTIMAS,12,4,4,19
402,DERROTA_VICTIMAS,9,1,4,13
403,DERROTA_ESTRUCTURAL,15,1,1,26
404,DERROTA_ESTRUCTURAL,14,5,0,24
405,DERROTA_VICTIMAS,8,2,4,14
406,DERROTA_ESTRUCTURAL,10,3,3,27
407,DERROTA_VICTIMAS,10,1,4,15
408,DERROTA_VICTIMAS,8,2,4,2
409,DERROTA_ESTRUCTURAL,17,2,3,29
410,DERROTA_ESTRUCTURAL,16,4,3,26
411,DERROTA_VICTIMAS,10,2,4,15
412,DERROTA_VICTIMAS,11,2,4,19
413,DERROTA_VICTIMAS,7,2,4,10
414,DERROTA_ESTRUCTURAL,14,1,2,25
415,DERROTA_VICTIMAS,7,1,4,8
416,DERROTA_ESTRUCTURAL,13,1,1,25
417,DERROTA_ESTRUCTURAL,13,2,3,24
418,DERROTA_ESTRUCTURAL,12,3,3,26
419,DERROTA_ESTRUCTURAL,15,1,1,26
420,DERROTA_VICTIMAS,6,1,4,8
421,DERROTA_ESTRUCTURAL,14,3,2,26
422,DERROTA_ESTRUCTURAL,13,2,2,25
423,DERROTA_VICTIMAS,8,1,4,5
424,DERROTA_VICTIMAS,7,2,4,0
425,DERROTA_VICTIMAS,8,2,4,11
426,DERROTA_ESTRUCTURAL,12,1,1,24
427,DERROTA_VICTIMAS,8,2,4,21
428,DERROTA_VICTIMAS,7,2,5,3
429,DERROTA_ESTRUCTURAL,14,2,2,25
430,DERROTA_ESTRUCTURAL,10,1,2,26
431,DERROTA_ESTRUCTURAL,12,1,2,26
432,DERROTA_ESTRUCTURAL,12,2,2,25
433,DERROTA_VICTIMAS,8,2,4,14
434,DERROTA_ESTRUCTURAL,13,2,1,24
435,DERROTA_ESTRUCTURAL,14,3,3,26
436,DERROTA_VICTIMAS,8,2,4,7
437,DERROTA_ESTRUCTURAL,16,2,3,25
438,DERROTA_VICTIMAS,8,4,4,4
439,DERROTA_ESTRUCTURAL,16,3,1,27
440,DERROTA_ESTRUCTURAL,14,3,1,24
441,DERROTA_VICTIMAS,9,3,4,6
442,DERROTA_VICTIMAS,9,4,4,18
443,DERROTA_ESTRUCTURAL,14,3,3,24
444,DERROTA_VICTIMAS,9,5,5,7
445,DERROTA_VICTIMAS,8,2,4,9
446,DERROTA_ESTRUCTURAL,12,3,2,26
447,DERROTA_ESTRUCTURAL,10,3,1,24
448,DERROTA_VICTIMAS,5,1,4,4
449,DERROTA_VICTIMAS,6,2,4,2
450,DERROTA_ESTRUCTURAL,12,2,3,25
451,DERROTA_ESTRUCTURAL,10,1,1,26
452,DERROTA_VICTIMAS,10,3,4,13
453,DERROTA_VICTIMAS,8,1,4,15
454,DERROTA_VICTIMAS,8,1,4,8
455,DERROTA_ESTRUCTURAL,14,1,1,27
456,DERROTA_VICTIMAS,7,1,4,14
457,DERROTA_ESTRUCTURAL,10,1,1,26
458,DERROTA_VICTIMAS,9,2,4,10
459,DERROTA_VICTIMAS,8,1,4,7
460,DERROTA_ESTRUCTURAL,12,2,2,28
461,DERROTA_ESTRUCTURAL,15,1,2,24
462,DERROTA_VICTIMAS,6,1,4,4
463,DERROTA_ESTRUCTURAL,14,1,1,27
464,DERROTA_VICTIMAS,8,1,4,6
465,DERROTA_ESTRUCTURAL,15,2,3,25
466,DERROTA_VICTIMAS,8,3,4,17
467,DERROTA_ESTRUCTURAL,16,2,2,25
468,DERROTA_VICTIMAS,8,1,4,11
469,DERROTA_VICTIMAS,8,1,4,9
470,DERROTA_VICTIMAS,6,1,5,7
471,DERROTA_VICTIMAS,7,3,4,5
472,DERROTA_ESTRUCTURAL,14,3,2,28
473,DERROTA_VICTIMAS,8,2,4,6
474,DERROTA_ESTRUCTURAL,13,2,3,25
475,DERROTA_VICTIMAS,10,2,4,9
476,DERROTA_VICTIMAS,7,1,4,7
477,DERROTA_VICTIMAS,8,2,4,7
478,DERROTA_VICTIMAS,8,3,4,16
479,DERROTA_VICTIMAS,11,3,4,13
480,DERROTA_ESTRUCTURAL,12,1,2,26
481,DERROTA_VICTIMAS,5,1,4,0
482,DERROTA_VICTIMAS,11,2,4,13
483,DERROTA_VICTIMAS,7,2,4,2
484,DERROTA_ESTRUCTURAL,12,2,3,25
485,DERROTA_VICTIMAS,8,1,4,10
486,DERROTA_VICTIMAS,5,1,5,3
487,DERROTA_ESTRUCTURAL,14,2,1,24
488,DERROTA_ESTRUCTURAL,14,1,2,26
489,DERROTA_VICTIMAS,7,3,4,0
490,DERROTA_VICTIMAS,7,3,4,14
491,DERROTA_ESTRUCTURAL,10,1,1,27
492,DERROTA_VICTIMAS,11,2,4,24
493,DERROTA_ESTRUCTURAL,13,1,3,28
494,DERROTA_ESTRUCTURAL,14,3,1,25
495,DERROTA_VICTIMAS,6,1,4,4
496,DERROTA_ESTRUCTURAL,14,2,2,26
497,DERROTA_ESTRUCTURAL,14,4,2,24
498,DERROTA_ESTRUCTURAL,12,1,2,26
499,DERROTA_ESTRUCTURAL,13,1,2,24
500,DERROTA_VICTIMAS,9,1,4,10
501,DERROTA_ESTRUCTURAL,11,4,2,25
502,DERROTA_ESTRUCTURAL,15,3,1,27
503,DERROTA_ESTRUCTURAL,15,1,3,25
504,DERROTA_ESTRUCTURAL,13,1,3,26
505,DERROTA_ESTRUCTURAL,14,4,1,27
506,DERROTA_VICTIMAS,6,1,4,0
507,DERROTA_ESTRUCTURAL,13,1,2,24
508,DERROTA_VICTIMAS,6,1,4,5
509,DERROTA_VICTIMAS,8,3,4,11
510,DERROTA_ESTRUCTURAL,14,1,2,27
511,DERROTA_ESTRUCTURAL,12,3,2,24
512,DERROTA_VICTIMAS,5,1,4,3
513,DERROTA_ESTRUCTURAL,11,3,3,27
514,DERROTA_VICTIMAS,6,2,4,3
515,DERROTA_ESTRUCTURAL,12,2,3,26
516,DERROTA_ESTRUCTURAL,14,1,3,24
517,DERROTA_VICTIMAS,8,3,4,11
518,DERROTA_VICTIMAS,7,2,4,14
519,DERROTA_ESTRUCTURAL,11,4,1,25
520,DERROTA_VICTIMAS,6,2,4,7
521,DERROTA_ESTRUCTURAL,14,2,3,26
522,DERROTA_VICTIMAS,8,2,4,0
523,DERROTA_VICTIMAS,12,2,4,23
524,DERROTA_ESTRUCTURAL,14,3,1,25
525,DERROTA_ESTRUCTURAL,14,3,3,27
526,DERROTA_ESTRUCTURAL,15,5,3,25
527,DERROTA_ESTRUCTURAL,16,4,3,25
528,DERROTA_ESTRUCTURAL,13,1,1,26
529,DERROTA_ESTRUCTURAL,14,6,2,25
530,DERROTA_VICTIMAS,7,1,4,1
531,DERROTA_VICTIMAS,8,2,4,7
532,DERROTA_VICTIMAS,11,2,4,20
533,DERROTA_VICTIMAS,10,3,4,13
534,DERROTA_VICTIMAS,7,1,4,11
535,DERROTA_VICTIMAS,8,1,4,8
536,DERROTA_ESTRUCTURAL,11,1,3,24
537,DERROTA_VICTIMAS,9,3,4,10
538,DERROTA_VICTIMAS,9,1,4,15
539,DERROTA_ESTRUCTURAL,14,1,1,26
540,DERROTA_VICTIMAS,7,2,4,7
541,DERROTA_ESTRUCTURAL,12,1,3,24
542,DERROTA_ESTRUCTURAL,16,2,2,28
543,DERROTA_VICTIMAS,6,1,4,2
544,DERROTA_VICTIMAS,13,2,4,18
545,DERROTA_VICTIMAS,7,3,4,9
546,DERROTA_VICTIMAS,10,2,4,15
547,DERROTA_VICTIMAS,5,1,4,1
548,DERROTA_ESTRUCTURAL,16,6,1,27
549,DERROTA_ESTRUCTURAL,14,1,1,25
550,DERROTA_VICTIMAS,7,1,4,9
